Area,Sub-area,Field,Picklist etc?,Notes,Public view?,Maps to in model,XML tag,Question?,
Technical,,Retouched by,Y,,,,<image_tech_retouched_by>,,
Technical,,Date retouched,,,,,"<image_tech_retouched_date>: <image_tech_retouched_date_from>, <image_tech_retouched_date_to>",,
Image Hist,,Manipulated by,Y,,,,<image_tech_manipulated_by>,,
Image Hist,,Date manipulated,,,,,"<image_tech_manipulated_date>, <image_tech_manipulated_date_from>, <image_tech_manipulated_date_to>",,
Image Hist,,Coloured by,Y,,,,<image_tech_coloured_by>,,
Image Hist,,Date coloured,,,,,"<image_tech_coloured_date></image_tech_coloured_date>, <image_tech_coloured_date_from></image_tech_coloured_date_from>, <image_tech_coloured_date_to></image_tech_coloured_date_to>",,
Image Hist,,Copyright information,,,,ipRightsStatement,<image_copyright_info>,,
Image Hist,,Supplementary contributor code,,Shows up on search but not on input screen,,,,,
Related Images,,Image No,,,,,<image_related_images>,,
Flags,,Cataloguing complete,tickbox,,,,,,
Flags,,Update photosoft,tickbox,,,,,,
Flags,,Publish to web,tickbox,,,,<all_web_publish>,,
Flags,,Download should be reviewed,Y,,,,,,
Interactive,,Int object,Y,,"Yes, in a different interactive context?",,<image_int_object>,,
Interactive,,Title,,,"Yes, in a different interactive context?",,<image_int_title>,,
Interactive,,Author / creator,,,"Yes, in a different interactive context?",,<image_int_author>,,
Interactive,,Date,,,"Yes, in a different interactive context?",,"<image_int_date_alias>; <image_int_date_from>, <image_int_date_to>, </image_int_date>",,
Interactive,,Object of the month,,,"Yes, in a different interactive context?",,<image_int_obj_month>,,
Interactive,,Narrative,,,"Yes, in a different interactive context?",,<image_int_narrative>,,
Interactive,,Additional narrative,,,"Yes, in a different interactive context?",,<image_int_narrative_more>,,
Interactive,,Keyword,,,"Yes, in a different interactive context?",,<image_int_keyword>,,
Interactive,,Media type,Y,,"Yes, in a different interactive context?",,<image_int_media>,,
Interactive,,Country of origin,,,"Yes, in a different interactive context?",,<image_int_country_origin>,,
Interactive,,Theme,Y,,"Yes, in a different interactive context?",,<image_int_theme>,,
Interactive,,Sub-theme,Y,,"Yes, in a different interactive context?",,<image_int_sub_theme>,,
Interactive,,Sponsor,Y,,No,,<image_int_sponsor>,,
Interactive,,Associated media,,,"Yes, in a different interactive context?",,<image_int_associated_media>,,
Interactive,,E-card,Y,,"Yes, in a different interactive context?",,<image_int_ecard>,,
Library,Context ,Archive name / description,,,"Yes as ""From""","isCopyOf - within the work copied, this maps to isPartOf",<image_pub_archive>,,
Library,Context ,Title/description,,,Yes,"isCopyOf - within the work copied, this maps to label",<image_pub_title>,,
Library,Context ,Author,Link to authority client,,Yes,"isCopyOf - within the work copied, this maps to Creator","<image_pub_author>, <image_pub_author_id>",,
Library,Context ,Publisher,,,Yes,"isCopyOf - within the work copied, this maps to hasPublisher",<image_pub_publisher>,,
Library,Context ,Place of publication,,,Yes,"isCopyOf - within the work copied, this maps to placeOfPublication",<image_pub_place>,,
Library,Context ,Date of publication,,,Yes,"isCopyOf - within the work copied, this maps to publicationDate","<image_pub_date>, <image_pub_date_from>, <image_pub_date_to>",,
Library,Context ,Printer,,,Yes,"isCopyOf - within the work copied, this maps to ",<image_pub_printer>,,
Library,Context ,Place of printing,,,Yes,"isCopyOf - within the work copied, this maps to ",<image_pub_printing_place>,,
Library,Context ,Date of printing,,,Yes,"isCopyOf - within the work copied, this maps to ","<image_pub_printing_date>, <image_pub_printing_date_from>, <image_pub_printing_date_to>",,
Library,Context 2,Periodical title,,,Yes,"isCopyOf - within the work copied, this maps to ",<image_pub_periodical>,,
Library,Context 2,Volume,,,Yes,"isCopyOf - within the work copied, this maps to ",<image_pub_volume>,,
Library,Context 2,Issue,,,Yes,"isCopyOf - within the work copied, this maps to ",<image_pub_issue>,,
Library,Context 2,Folio / Page,,,Yes,"isCopyOf - within the work copied, this maps to ",<image_pub_page_no>,,
Library,Context 2,Plate,,,Yes,"isCopyOf - within the work copied, this maps to ",<image_pub_plate>,,
Library,Context 2,Position,,,Yes,"isCopyOf - within the work copied, this maps to ",<image_pub_position>,,
Library,Physical Desc,Support,Y,,,,<image_phys_support>,,
Library,Physical Desc,Genre & Physical Characteristics,Y,,,"isCopyOf - within the work copied, this maps to hasGenre",<image_phys_format>,,
Library,Physical Desc,L.C. Genre,,,,,<image_lc_genre>,,
Library,Physical Desc,Notes on Technique,,,,,<image_technique_note>,,
Library,Physical Desc,Size,,,,,<image_phys_size>,,
Library,Physical Desc,Notes on Physical State,,,,,<image_phys_notes>,,
Library,Ref nos,Non-MPL reference,,"Indicates main department or area: for instance, archives and manuscripts",Yes concatenated. ,"isCopyOf - within the work copied, this maps to preferredPublicIdentifier",<image_library_ref_department> + <image_library_ref_id>,,
Library,Ref nos,ID,,Non Sierra identifier such as archive AltRefNo,Yes. Surfaces as link to Encore,"isCopyOf - within the work copied, this maps to preferredPublicIdentifier",<image_innopac_id>,,
Library,Ref nos,Innopac ID modified,,Sierra b number,,isCopyOf,<image_innopac_id_date>,,
Corporate,,Commissioned by,,,,,<image_corp_commissioned_by>,,
Corporate,,Purpose,,,,,<image_corp_purpose>,,
Corporate,,Institution / department,,,,,<image_corp_institution,,
Corporate,,Contact details,,,,,<image_corp_contact_details>,,
Corporate,,Shoot sheet number,,,,,<image_corp_shoot_sheet_number>,,
Corporate,,Wellcome funding type,Y,,,,<image_funding_type>,,
Corporate,,Freelance photographer,,,,,<image_corp_photographer_freelance>,,
Corporate,,Publishing dept keywords,Y,,,,<image_corp_keywords>,,
Biomedical,,Close-up,Y,,,,<image_biomed_close_up>,,
Biomedical,,Scale,Y,,,,<image_biomed_scale>,,
Biomedical,,Body part,Y,,,,<image_biomed_body_part>,,
Biomedical,,Skin colour / Ethnicity,Y,,,,<image_biomed_ethnicity>,,
Biomedical,,Sex,Y,,,,<image_biomed_sex>,,
Biomedical,,Age,Y,,,,<image_biomed_age>,,
Biomedical,,Non-ICD category,,,,,<image_biomed_non_icd_category>,,
Biomedical,,ICD code,,Linked fields,,,<image_icd>,,
Biomedical,,Description,,Linked fields,,,,,
Acquisition,,Acquired by,,,,,<image_acquired_by>,,
Acquisition,,Approval of manipulation received,Y,,,,<image_approval_manip_received>,,
Acquisition,,Patient consent received,Y,,,,<image_patient_consent_received>,,
Acquisition,,Model release received,Y,,,,<image_model_release_received>,,
Acquisition,,Contributor ref,,,,,,,
,,,,,,,,,
,,,,,,,,,
